nb threads; sorting algorithm; mean; standard deviation
1; Sequential; 92209886.00; 1267595.60
1; ExecutorService; 63609674.00; 10843851.32
2; ExecutorService; 62994440.00; 10454330.30
4; ExecutorService; 55273510.00; 7579273.30
8; ExecutorService; 45672813.00; 5663776.94
16; ExecutorService; 55821630.00; 9635740.27
32; ExecutorService; 85357036.00; 19359162.87
48; ExecutorService; 110683203.00; 24098385.14
64; ExecutorService; 131301551.00; 30602573.60
96; ExecutorService; 170011695.00; 36741875.77
1; ForkJoinPool; 76274754.00; 1568498.44
2; ForkJoinPool; 44264303.00; 8897601.73
4; ForkJoinPool; 28230835.00; 5062123.66
8; ForkJoinPool; 18829454.00; 3876375.88
16; ForkJoinPool; 16985880.00; 5893244.42
1; ParallelStream; 196538661.00; 2701517.98
2; ParallelStream; 89793748.00; 4976169.12
4; ParallelStream; 35021833.00; 10369660.22
8; ParallelStream; 21399687.00; 6596929.09
16; ParallelStream; 24945618.00; 6340936.98
32; ParallelStream; 16896055.00; 4558729.43
48; ParallelStream; 15736133.00; 7001644.42
64; ParallelStream; 16121856.00; 5173219.79
96; ParallelStream; 16202890.00; 6013244.85
