nb threads; sorting algorithm; mean; standard deviation
1; Sequential; 92209886.00; 1267595.60
1; ExecutorService; 56552112.00; 9946957.77
2; ExecutorService; 58433899.00; 9525878.03
4; ExecutorService; 47642070.00; 6813252.01
8; ExecutorService; 36389531.00; 5020246.14
16; ExecutorService; 26474365.00; 4581659.38
32; ExecutorService; 19745480.00; 4520044.41
48; ExecutorService; 20854587.00; 5762912.44
64; ExecutorService; 21174193.00; 7200727.65
96; ExecutorService; 25850947.00; 7848852.77
1; ForkJoinPool; 76274754.00; 1568498.44
2; ForkJoinPool; 44264303.00; 8897601.73
4; ForkJoinPool; 28230835.00; 5062123.66
8; ForkJoinPool; 18829454.00; 3876375.88
16; ForkJoinPool; 16985880.00; 5893244.42
32; ForkJoinPool; 18180024.00; 12705510.38
48; ForkJoinPool; 22490282.00; 16348335.28
64; ForkJoinPool; 29413201.00; 21413164.47
96; ForkJoinPool; 46294327.00; 25428210.57
1; ParallelStream; 196538661.00; 2701517.98
2; ParallelStream; 89793748.00; 4976169.12
4; ParallelStream; 35021833.00; 10369660.22
8; ParallelStream; 21399687.00; 6596929.09
16; ParallelStream; 24945618.00; 6340936.98
32; ParallelStream; 16896055.00; 4558729.43
48; ParallelStream; 15736133.00; 7001644.42
64; ParallelStream; 16121856.00; 5173219.79
96; ParallelStream; 16202890.00; 6013244.85
